"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","species_code"
"Treatment Model",15,1392.27736663697,0,1,0.827233493017524,-669.138683318487,0.827233493017524,"BACS"
"Non-treatment Model",12,1395.40965859759,3.13229196061729,0.20884853966958,0.172766506982476,-678.922220603144,1,"BACS"
"Null Model",7,1465.37623651646,73.0988698794836,1.3390046616749e-16,1.10766950344408e-16,-723.688118258229,1,"BACS"
"Treatment Model",15,1791.45078171757,0,1,0.995330755614123,-868.725390858783,0.995330755614123,"BLGR"
"Non-treatment Model",12,1802.1840535613,10.7332718437317,0.00466981453666652,0.0046480100313581,-882.309418084996,0.999978765645481,"BLGR"
"Null Model",7,1812.96120174228,21.5104200247124,2.13339680289936e-05,2.12343545185457e-05,-897.480600871139,1,"BLGR"
"Treatment Model",15,1445.7869147182,0,1,0.981730378892286,-695.893457359099,0.981730378892286,"CONI"
"Non-treatment Model",12,1453.75970456716,7.97278984896275,0.0185665273472977,0.0182273239273765,-708.097243587929,0.999957702819663,"CONI"
"Null Model",7,1465.89161784071,20.1047031225137,4.30843144376109e-05,4.22971803371501e-05,-723.945808920356,1,"CONI"
"Treatment Model",15,1381.19837625239,0,1,0.999999510900681,-663.599188126195,0.999999510900681,"COYE"
"Non-treatment Model",12,1410.44606084922,29.2476845968263,4.45600824325203e-07,4.45600606382143e-07,-686.440421728956,0.999999956501287,"COYE"
"Null Model",7,1415.09944424831,33.9010679959217,4.34987342071715e-08,4.34987129319702e-08,-698.549722124156,1,"COYE"
"Non-treatment Model",12,343.896939443178,0,1,0.911482318155742,-153.165861025937,0.911482318155742,"CWWI"
"Null Model",7,348.840929083368,4.94398964019024,0.0844162956078053,0.0769439608107227,-165.420464541684,0.988426278966465,"CWWI"
"Treatment Model",15,352.629609633786,8.73267019060779,0.0126976912255992,0.011573721033535,-149.314804816893,1,"CWWI"
"Treatment Model",15,1331.98567549329,0,1,1,-638.992837746646,1,"INBU"
"Null Model",7,1423.67489855239,91.6892230590959,1.23009368153424e-20,1.23009368153424e-20,-702.837449276194,1,"INBU"
"Non-treatment Model",12,1432.22387878085,100.238203287559,1.71218511892919e-22,1.71218511892919e-22,-697.329330694773,1,"INBU"
"Treatment Model",15,2249.02811547622,0,1,0.995749728015838,-1097.51405773811,0.995749728015838,"NOBO"
"Non-treatment Model",12,2260.43306376162,11.4049482854016,0.00333769729398345,0.00332351117268322,-1111.43392318516,0.999073239188521,"NOBO"
"Null Model",7,2262.98722691606,13.9591114398427,0.000930716610212699,0.000926760811479118,-1122.49361345803,1,"NOBO"
"Treatment Model",15,801.008646605011,0,1,0.999999997984324,-373.504323302506,0.999999997984324,"PRAW"
"Non-treatment Model",12,841.053269461904,40.0446228568927,2.01567556762257e-09,2.01567556355962e-09,-401.7440260353,1,"PRAW"
"Null Model",7,883.601162268298,82.5925156632866,1.1621524455976e-18,1.16215244325508e-18,-432.800581134149,1,"PRAW"
"Treatment Model",15,744.20990848132,0,1,0.999691847558349,-345.10495424066,0.999691847558349,"WEVI"
"Null Model",7,760.379974330363,16.1700658490425,0.000308116399934084,0.000308021453113131,-371.189987165181,0.999999869011462,"WEVI"
"Non-treatment Model",12,775.905604110046,31.6956956287264,1.31028914809672e-07,1.30988537929646e-07,-369.170193359371,1,"WEVI"
