"Dataset","Treatment","Abundance_Estimate","Abundance_SE","Cumulative_Detection_Probability","Detection_Probability_SE"
"Every 10 Days - 5 Surveys","Mine",0.963308619189146,0.51723938417818,0.877368747428466,0.0262209783783526
"Every 10 Days - 5 Surveys","Sec-Growth Rx Fire",0.687840687924329,0.410026414656482,0.877368747428466,0.0262209783783526
"Every 10 Days - 5 Surveys","Young Rx Fire",5.92387008472484,2.56429808044149,0.877368747428466,0.0262209783783526
"Every 10 Days - 5 Surveys","Timber",1.50405500317314,0.669240136848013,0.877368747428466,0.0262209783783526
"Every 2 Days - 25 Surveys","Mine",2.85713344423272,0.790864248607491,0.997728399736566,0.00155330459083422
"Every 2 Days - 25 Surveys","Sec-Growth Rx Fire",1.06141141890679,0.434683925202221,0.997728399736566,0.00155330459083422
"Every 2 Days - 25 Surveys","Young Rx Fire",6.35364927518966,1.43992109229209,0.997728399736566,0.00155330459083422
"Every 2 Days - 25 Surveys","Timber",3.93850947567364,0.950752576113996,0.997728399736566,0.00155330459083422
"Every 3 Days - 17 Surveys","Mine",2.66872356389825,0.818186565086394,0.994222412250061,0.00323752281773109
"Every 3 Days - 17 Surveys","Sec-Growth Rx Fire",0.845643005421478,0.382437357052867,0.994222412250061,0.00323752281773109
"Every 3 Days - 17 Surveys","Young Rx Fire",5.399608002905,1.41130448629925,0.994222412250061,0.00323752281773109
"Every 3 Days - 17 Surveys","Timber",2.90008980960275,0.795324220974575,0.994222412250061,0.00323752281773109
"Every 4 Days - 13 Surveys","Mine",2.33119573802189,0.772122272291724,0.980753532152163,0.00912945423823549
"Every 4 Days - 13 Surveys","Sec-Growth Rx Fire",0.788059028141914,0.366880906052232,0.980753532152163,0.00912945423823549
"Every 4 Days - 13 Surveys","Young Rx Fire",6.44752238121186,1.78944534144202,0.980753532152163,0.00912945423823549
"Every 4 Days - 13 Surveys","Timber",3.25134311758447,0.921167552145091,0.980753532152163,0.00912945423823549
"Every 7 Days - 8 Surveys","Mine",2.33459491997271,0.904497841563762,0.966987847004954,0.0118298955991301
"Every 7 Days - 8 Surveys","Sec-Growth Rx Fire",1.18730804236594,0.560921908095254,0.966987847004954,0.0118298955991301
"Every 7 Days - 8 Surveys","Young Rx Fire",4.64585027834066,1.52028406377011,0.966987847004954,0.0118298955991301
"Every 7 Days - 8 Surveys","Timber",2.53209178529935,0.842240633254208,0.966987847004954,0.0118298955991301
"Every Day - 50 Surveys","Mine",3.95258438335828,0.879240295307848,0.999884118835532,0.000110330904473719
"Every Day - 50 Surveys","Sec-Growth Rx Fire",1.37839779062999,0.498129352596943,0.999884118835532,0.000110330904473719
"Every Day - 50 Surveys","Young Rx Fire",8.19807901021128,1.48629733154166,0.999884118835532,0.000110330904473719
"Every Day - 50 Surveys","Timber",5.16221322518253,1.02020785651353,0.999884118835532,0.000110330904473719
