"Interval","Mean_CV","Species"
"Everyday",0.240689497142632,"Blue Grosbeak"
"Every 2nd Day",0.288591334293131,"Blue Grosbeak"
"Every 3rd Day",0.32361020721646,"Blue Grosbeak"
"Every 4th Day",0.339405521559103,"Blue Grosbeak"
"Every 7th Day",0.379931343789664,"Blue Grosbeak"
"Every 10th Day",0.502719957269749,"Blue Grosbeak"
"Everyday",0.2731030079013,"Bachman's Sparrow"
"Every 2nd Day",0.344741858464727,"Bachman's Sparrow"
"Every 3rd Day",0.360797217898028,"Bachman's Sparrow"
"Every 4th Day",0.419027242731869,"Bachman's Sparrow"
"Every 7th Day",0.545867922907188,"Bachman's Sparrow"
"Every 10th Day",0.62161753949361,"Bachman's Sparrow"
