"Model","Dataset","Species","Mean_Cumulative_Detection","SE","Lower_CI","Upper_CI"
"every_day_blgr","Everyday","Blue Grosbeak",0.999884118835532,0.000110330904473719,0.999667870262763,1.0001003674083
"every_2_days_blgr","Every 2nd Day","Blue Grosbeak",0.997728399736566,0.00155330459083422,0.994683922738531,1.0007728767346
"every_3_days_blgr","Every 3rd Day","Blue Grosbeak",0.994222412250061,0.00323752281773109,0.987876867527308,1.00056795697281
"every_4_days_blgr","Every 4th Day","Blue Grosbeak",0.980753532152163,0.00912945423823549,0.962859801845222,0.998647262459105
"every_7_days_blgr","Every 7th Day","Blue Grosbeak",0.966987847004954,0.0118298955991301,0.943801251630659,0.990174442379249
"every_10_days_blgr","Every 10th Day","Blue Grosbeak",0.877368747428466,0.0262209783783526,0.825975629806895,0.928761865050037
"every_day_bacs","Everyday","Bachman's Sparrow",0.990714047630368,0.00502509543125566,0.980864860585107,1.00056323467563
"every_2_days_bacs","Every 2nd Day","Bachman's Sparrow",0.964456974816378,0.014696880527473,0.935651088982531,0.993262860650225
"every_3_days_bacs","Every 3rd Day","Bachman's Sparrow",0.905398848577557,0.0275316633532673,0.851436788405153,0.959360908749961
"every_4_days_bacs","Every 4th Day","Bachman's Sparrow",0.915942156047318,0.0264025630971164,0.86419313237697,0.967691179717666
"every_7_days_bacs","Every 7th Day","Bachman's Sparrow",0.812479744518635,0.0382133423545796,0.737581593503659,0.887377895533611
"every_10_days_bacs","Every 10th Day","Bachman's Sparrow",0.717716497443856,0.0390923764078877,0.641095439684397,0.794337555203316
